(987)
2 (726)
3 (447)
4 (107)
5 (53)
6 (53)
7 (148)
8 (82)
2 12 66 (99)
12 14 66 (97)
3 18 66 (86)
2 18 66 (138)
14 18 66 (137)
2 3 66 (100)
3 14 66 (97)
2 14 66 (149)
67 68 77 (66)
18 68 77 (66)
2 68 77 (66)
14 68 77 (63)
18 67 77 (67)
2 67 77 (66)
14 67 77 (64)
2 28 77 (74)
14 28 77 (79)
17 18 77 (51)
2 17 77 (61)
14 17 77 (62)
14 40 77 (50)
3 12 77 (54)
2 12 77 (71)
12 14 77 (72)
2 18 77 (76)
14 18 77 (74)
2 3 77 (93)
3 14 77 (99)
2 14 77 (149)
58 67 68 (96)
17 67 68 (80)
40 67 68 (54)
12 67 68 (105)
18 67 68 (144)
3 67 68 (117)
2 67 68 (178)
14 67 68 (173)
12 58 68 (74)
18 58 68 (82)
3 58 68 (96)
2 58 68 (96)
14 58 68 (92)
17 18 68 (80)
2 17 68 (80)
14 17 68 (77)
18 40 68 (51)
2 40 68 (54)
14 40 68 (53)
12 18 68 (91)
3 12 68 (77)
2 12 68 (105)
12 14 68 (102)
3 18 68 (86)
2 18 68 (144)
14 18 68 (141)
2 3 68 (117)
3 14 68 (113)
2 14 68 (173)
12 58 67 (74)
18 58 67 (82)
3 58 67 (96)
2 58 67 (96)
14 58 67 (92)
17 18 67 (89)
2 17 67 (89)
14 17 67 (86)
18 40 67 (55)
2 40 67 (58)
14 40 67 (57)
12 18 67 (99)
3 12 67 (77)
2 12 67 (113)
12 14 67 (110)
3 18 67 (87)
2 18 67 (152)
14 18 67 (150)
2 3 67 (117)
3 14 67 (114)
2 14 67 (181)
12 18 58 (69)
3 12 58 (83)
2 12 58 (83)
12 14 58 (81)
3 18 58 (93)
2 18 58 (92)
14 18 58 (91)
2 3 58 (106)
3 14 58 (176)
2 14 58 (116)
17 40 47 (115)
12 17 47 (57)
17 18 47 (108)
2 17 47 (123)
14 17 47 (137)
12 40 47 (70)
18 40 47 (161)
3 40 47 (52)
2 40 47 (147)
14 40 47 (187)
